[2025-02-02T21:02:05.225+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-02T21:02:05.251+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: directory_and_file_verification_dag.verify_file_reliability manual__2025-02-02T21:01:57.304677+00:00 [queued]>
[2025-02-02T21:02:05.264+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: directory_and_file_verification_dag.verify_file_reliability manual__2025-02-02T21:01:57.304677+00:00 [queued]>
[2025-02-02T21:02:05.265+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-02-02T21:02:05.286+0000] {taskinstance.py:2889} INFO - Executing <Task(BranchPythonOperator): verify_file_reliability> on 2025-02-02 21:01:57.304677+00:00
[2025-02-02T21:02:05.293+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2599) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-02-02T21:02:05.296+0000] {standard_task_runner.py:72} INFO - Started process 2601 to run task
[2025-02-02T21:02:05.296+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'directory_and_file_verification_dag', 'verify_file_reliability', 'manual__2025-02-02T21:01:57.304677+00:00', '--job-id', '323', '--raw', '--subdir', 'DAGS_FOLDER/my_directory_and_file_checker.py', '--cfg-path', '/tmp/tmp15d9ikzf']
[2025-02-02T21:02:05.298+0000] {standard_task_runner.py:105} INFO - Job 323: Subtask verify_file_reliability
[2025-02-02T21:02:05.567+0000] {task_command.py:467} INFO - Running <TaskInstance: directory_and_file_verification_dag.verify_file_reliability manual__2025-02-02T21:01:57.304677+00:00 [running]> on host 003b7fbea265
[2025-02-02T21:02:05.640+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='directory_and_file_verification_dag' AIRFLOW_CTX_TASK_ID='verify_file_reliability' AIRFLOW_CTX_EXECUTION_DATE='2025-02-02T21:01:57.304677+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-02-02T21:01:57.304677+00:00'
[2025-02-02T21:02:05.641+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-02-02T21:02:05.642+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-02-02T21:02:05.643+0000] {logging_mixin.py:190} INFO - Current task name:verify_file_reliability state:running start_date:2025-02-02 21:02:05.252309+00:00
[2025-02-02T21:02:05.643+0000] {logging_mixin.py:190} INFO - Dag name:directory_and_file_verification_dag and current dag run status:running
[2025-02-02T21:02:05.644+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-02-02T21:02:05.645+0000] {baseoperator.py:421} WARNING - BranchPythonOperator.execute cannot be called outside TaskInstance!
[2025-02-02T21:02:05.664+0000] {my_directory_and_file_checker.py:57} ERROR - ❌ Erreur d'encodage (utf-8) pour Écritures comptables article.csv: 'utf-8' codec can't decode byte 0xb0 in position 1: invalid start byte
[2025-02-02T21:02:05.724+0000] {logging_mixin.py:190} INFO - 
📂 Contenu du fichier (ISO-8859-1): Écritures comptables article.csv
[2025-02-02T21:02:05.755+0000] {logging_mixin.py:190} INFO -   Date comptabilisation       N° lot  ... KOR par Réception KOR INPUT
0            31/12/2024  A-BNDK 2304  ...             0,000     0,000
1            31/12/2024  B-BNDK 2304  ...             0,000     0,000
2            31/12/2024  C-BNDK 2304  ...             0,000     0,000
3            31/12/2024  D-BNDK 2304  ...             0,000     0,000
4            31/12/2024  E-BNDK 2304  ...             0,000     0,000

[5 rows x 27 columns]
[2025-02-02T21:02:05.756+0000] {logging_mixin.py:190} INFO - Boris200223 <class 'pandas.core.frame.DataFrame'>
[2025-02-02T21:02:05.756+0000] {logging_mixin.py:190} INFO - jean64464 []
[2025-02-02T21:02:05.759+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-31
[2025-02-02T21:02:05.760+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-31
[2025-02-02T21:02:05.761+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-31
[2025-02-02T21:02:05.762+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-31
[2025-02-02T21:02:05.762+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-31
[2025-02-02T21:02:05.763+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-31
[2025-02-02T21:02:05.764+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-30
[2025-02-02T21:02:05.765+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-30
[2025-02-02T21:02:05.766+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-30
[2025-02-02T21:02:05.767+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-30
[2025-02-02T21:02:05.768+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-30
[2025-02-02T21:02:05.768+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-30
[2025-02-02T21:02:05.769+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-18
[2025-02-02T21:02:05.770+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-12
[2025-02-02T21:02:05.771+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-12
[2025-02-02T21:02:05.772+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-12
[2025-02-02T21:02:05.772+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-17
[2025-02-02T21:02:05.773+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-17
[2025-02-02T21:02:05.774+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-28
[2025-02-02T21:02:05.775+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-28
[2025-02-02T21:02:05.775+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-27
[2025-02-02T21:02:05.776+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-27
[2025-02-02T21:02:05.777+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-27
[2025-02-02T21:02:05.778+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-27
[2025-02-02T21:02:05.779+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-27
[2025-02-02T21:02:05.779+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-27
[2025-02-02T21:02:05.780+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-27
[2025-02-02T21:02:05.781+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.782+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.782+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.783+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.784+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.784+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.785+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.786+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-24
[2025-02-02T21:02:05.786+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-24
[2025-02-02T21:02:05.787+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-24
[2025-02-02T21:02:05.788+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-24
[2025-02-02T21:02:05.788+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-24
[2025-02-02T21:02:05.789+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-27
[2025-02-02T21:02:05.790+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-27
[2025-02-02T21:02:05.790+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-23
[2025-02-02T21:02:05.791+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-23
[2025-02-02T21:02:05.791+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-23
[2025-02-02T21:02:05.792+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-23
[2025-02-02T21:02:05.792+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-23
[2025-02-02T21:02:05.793+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.793+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.794+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.794+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.795+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.795+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.796+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.796+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.797+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.797+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.798+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.799+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.799+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.799+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.800+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.801+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.801+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.801+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.802+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.803+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.803+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.803+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.804+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.804+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.805+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.806+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.806+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.807+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.808+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.808+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.809+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.809+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.809+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.810+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.811+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.811+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.812+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.812+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.813+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.813+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.814+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.814+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.815+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.815+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.816+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.816+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.817+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.817+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.818+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.818+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.818+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.819+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
[2025-02-02T21:02:05.820+0000] {logging_mixin.py:190} INFO - jean645888258 2024-12-26
