[2025-02-02T22:09:13.367+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-02T22:09:13.392+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: directory_and_file_verification_dag.verify_file_reliability manual__2025-02-02T22:09:03.717797+00:00 [queued]>
[2025-02-02T22:09:13.403+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: directory_and_file_verification_dag.verify_file_reliability manual__2025-02-02T22:09:03.717797+00:00 [queued]>
[2025-02-02T22:09:13.403+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-02-02T22:09:13.420+0000] {taskinstance.py:2889} INFO - Executing <Task(BranchPythonOperator): verify_file_reliability> on 2025-02-02 22:09:03.717797+00:00
[2025-02-02T22:09:13.426+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=3571) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-02-02T22:09:13.428+0000] {standard_task_runner.py:72} INFO - Started process 3573 to run task
[2025-02-02T22:09:13.429+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'directory_and_file_verification_dag', 'verify_file_reliability', 'manual__2025-02-02T22:09:03.717797+00:00', '--job-id', '344', '--raw', '--subdir', 'DAGS_FOLDER/my_directory_and_file_checker.py', '--cfg-path', '/tmp/tmpfp_anmwi']
[2025-02-02T22:09:13.430+0000] {standard_task_runner.py:105} INFO - Job 344: Subtask verify_file_reliability
[2025-02-02T22:09:13.678+0000] {task_command.py:467} INFO - Running <TaskInstance: directory_and_file_verification_dag.verify_file_reliability manual__2025-02-02T22:09:03.717797+00:00 [running]> on host 003b7fbea265
[2025-02-02T22:09:13.758+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='directory_and_file_verification_dag' AIRFLOW_CTX_TASK_ID='verify_file_reliability' AIRFLOW_CTX_EXECUTION_DATE='2025-02-02T22:09:03.717797+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-02-02T22:09:03.717797+00:00'
[2025-02-02T22:09:13.759+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-02-02T22:09:13.760+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-02-02T22:09:13.760+0000] {logging_mixin.py:190} INFO - Current task name:verify_file_reliability state:running start_date:2025-02-02 22:09:13.392919+00:00
[2025-02-02T22:09:13.761+0000] {logging_mixin.py:190} INFO - Dag name:directory_and_file_verification_dag and current dag run status:running
[2025-02-02T22:09:13.762+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-02-02T22:09:13.763+0000] {baseoperator.py:421} WARNING - BranchPythonOperator.execute cannot be called outside TaskInstance!
[2025-02-02T22:09:13.779+0000] {my_directory_and_file_checker.py:57} ERROR - ❌ Erreur d'encodage (utf-8) pour Écritures.csv: 'utf-8' codec can't decode byte 0xb0 in position 1: invalid start byte
[2025-02-02T22:09:13.863+0000] {logging_mixin.py:190} INFO - 
📂 Contenu du fichier (ISO-8859-1): Écritures.csv
[2025-02-02T22:09:13.903+0000] {logging_mixin.py:190} INFO -   Date comptabilisation       N° lot  ... KOR par Réception KOR INPUT
0            31/12/2024  A-BNDK 2304  ...             0,000     0,000
1            31/12/2024  B-BNDK 2304  ...             0,000     0,000
2            31/12/2024  C-BNDK 2304  ...             0,000     0,000
3            31/12/2024  D-BNDK 2304  ...             0,000     0,000
4            31/12/2024  E-BNDK 2304  ...             0,000     0,000

[5 rows x 27 columns]
[2025-02-02T22:09:13.904+0000] {logging_mixin.py:190} INFO - Boris200223 <class 'pandas.core.frame.DataFrame'>
[2025-02-02T22:09:13.907+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-02T22:09:13.908+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-02T22:09:13.909+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-02T22:09:13.910+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-02T22:09:13.911+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-02T22:09:13.912+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-02T22:09:13.913+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-02T22:09:13.914+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-02T22:09:13.915+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-02T22:09:13.916+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-02T22:09:13.917+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-02T22:09:13.918+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-02T22:09:13.919+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-18
[2025-02-02T22:09:13.920+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-12
[2025-02-02T22:09:13.922+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-12
[2025-02-02T22:09:13.923+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-12
[2025-02-02T22:09:13.924+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-17
[2025-02-02T22:09:13.925+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-17
[2025-02-02T22:09:13.926+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-28
[2025-02-02T22:09:13.927+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-28
[2025-02-02T22:09:13.928+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-02T22:09:13.929+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-02T22:09:13.930+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-02T22:09:13.931+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-02T22:09:13.931+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-02T22:09:13.932+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
