[2025-02-02T23:17:47.382+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-02T23:17:47.403+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: directory_and_file_verification_dag.verify_file_reliability manual__2025-02-02T23:17:40.334522+00:00 [queued]>
[2025-02-02T23:17:47.413+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: directory_and_file_verification_dag.verify_file_reliability manual__2025-02-02T23:17:40.334522+00:00 [queued]>
[2025-02-02T23:17:47.414+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-02-02T23:17:47.427+0000] {taskinstance.py:2889} INFO - Executing <Task(BranchPythonOperator): verify_file_reliability> on 2025-02-02 23:17:40.334522+00:00
[2025-02-02T23:17:47.434+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4642) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-02-02T23:17:47.435+0000] {standard_task_runner.py:72} INFO - Started process 4644 to run task
[2025-02-02T23:17:47.435+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'directory_and_file_verification_dag', 'verify_file_reliability', 'manual__2025-02-02T23:17:40.334522+00:00', '--job-id', '389', '--raw', '--subdir', 'DAGS_FOLDER/my_directory_and_file_checker.py', '--cfg-path', '/tmp/tmpqosp3x86']
[2025-02-02T23:17:47.436+0000] {standard_task_runner.py:105} INFO - Job 389: Subtask verify_file_reliability
[2025-02-02T23:17:47.638+0000] {task_command.py:467} INFO - Running <TaskInstance: directory_and_file_verification_dag.verify_file_reliability manual__2025-02-02T23:17:40.334522+00:00 [running]> on host 003b7fbea265
[2025-02-02T23:17:47.701+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='directory_and_file_verification_dag' AIRFLOW_CTX_TASK_ID='verify_file_reliability' AIRFLOW_CTX_EXECUTION_DATE='2025-02-02T23:17:40.334522+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-02-02T23:17:40.334522+00:00'
[2025-02-02T23:17:47.702+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-02-02T23:17:47.703+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-02-02T23:17:47.703+0000] {logging_mixin.py:190} INFO - Current task name:verify_file_reliability state:running start_date:2025-02-02 23:17:47.404507+00:00
[2025-02-02T23:17:47.704+0000] {logging_mixin.py:190} INFO - Dag name:directory_and_file_verification_dag and current dag run status:running
[2025-02-02T23:17:47.705+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-02-02T23:17:47.705+0000] {baseoperator.py:421} WARNING - BranchPythonOperator.execute cannot be called outside TaskInstance!
[2025-02-02T23:17:47.725+0000] {my_directory_and_file_checker.py:57} ERROR - ❌ Erreur d'encodage (utf-8) pour Écritures.csv: 'utf-8' codec can't decode byte 0xb0 in position 1: invalid start byte
[2025-02-02T23:17:47.790+0000] {logging_mixin.py:190} INFO - 
📂 Contenu du fichier (ISO-8859-1): Écritures.csv
[2025-02-02T23:17:47.819+0000] {logging_mixin.py:190} INFO -   Date comptabilisation       N° lot  ... KOR par Réception KOR INPUT
0            31/12/2024  A-BNDK 2304  ...             0,000     0,000
1            31/12/2024  B-BNDK 2304  ...             0,000     0,000
2            31/12/2024  C-BNDK 2304  ...             0,000     0,000
3            31/12/2024  D-BNDK 2304  ...             0,000     0,000
4            31/12/2024  E-BNDK 2304  ...             0,000     0,000

[5 rows x 27 columns]
[2025-02-02T23:17:47.822+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-02T23:17:47.823+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-02T23:17:47.824+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-02T23:17:47.824+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-02T23:17:47.825+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-02T23:17:47.826+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-02T23:17:47.826+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-02T23:17:47.827+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-02T23:17:47.828+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-02T23:17:47.828+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-02T23:17:47.829+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-02T23:17:47.830+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-02T23:17:47.831+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-18
[2025-02-02T23:17:47.831+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-12
[2025-02-02T23:17:47.832+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-12
[2025-02-02T23:17:47.833+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-12
[2025-02-02T23:17:47.833+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-17
[2025-02-02T23:17:47.834+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-17
[2025-02-02T23:17:47.835+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-28
[2025-02-02T23:17:47.835+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-28
[2025-02-02T23:17:47.836+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-02T23:17:47.837+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-02T23:17:47.837+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-02T23:17:47.838+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-02T23:17:47.839+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-02T23:17:47.839+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-02T23:17:47.840+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-02T23:17:47.841+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-26
