[2025-02-03T23:10:05.565+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-03T23:10:05.583+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: directory_and_file_verification_dag.verify_file_reliability manual__2025-02-03T23:09:56.946198+00:00 [queued]>
[2025-02-03T23:10:05.592+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: directory_and_file_verification_dag.verify_file_reliability manual__2025-02-03T23:09:56.946198+00:00 [queued]>
[2025-02-03T23:10:05.593+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-02-03T23:10:05.606+0000] {taskinstance.py:2889} INFO - Executing <Task(BranchPythonOperator): verify_file_reliability> on 2025-02-03 23:09:56.946198+00:00
[2025-02-03T23:10:05.612+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=350) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-02-03T23:10:05.613+0000] {standard_task_runner.py:72} INFO - Started process 352 to run task
[2025-02-03T23:10:05.613+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'directory_and_file_verification_dag', 'verify_file_reliability', 'manual__2025-02-03T23:09:56.946198+00:00', '--job-id', '406', '--raw', '--subdir', 'DAGS_FOLDER/my_directory_and_file_checker.py', '--cfg-path', '/tmp/tmp5fedgk45']
[2025-02-03T23:10:05.615+0000] {standard_task_runner.py:105} INFO - Job 406: Subtask verify_file_reliability
[2025-02-03T23:10:05.837+0000] {task_command.py:467} INFO - Running <TaskInstance: directory_and_file_verification_dag.verify_file_reliability manual__2025-02-03T23:09:56.946198+00:00 [running]> on host 003b7fbea265
[2025-02-03T23:10:05.902+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='directory_and_file_verification_dag' AIRFLOW_CTX_TASK_ID='verify_file_reliability' AIRFLOW_CTX_EXECUTION_DATE='2025-02-03T23:09:56.946198+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-02-03T23:09:56.946198+00:00'
[2025-02-03T23:10:05.903+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-02-03T23:10:05.903+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-02-03T23:10:05.904+0000] {logging_mixin.py:190} INFO - Current task name:verify_file_reliability state:running start_date:2025-02-03 23:10:05.584804+00:00
[2025-02-03T23:10:05.904+0000] {logging_mixin.py:190} INFO - Dag name:directory_and_file_verification_dag and current dag run status:running
[2025-02-03T23:10:05.905+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-02-03T23:10:05.906+0000] {baseoperator.py:421} WARNING - BranchPythonOperator.execute cannot be called outside TaskInstance!
[2025-02-03T23:10:05.917+0000] {my_directory_and_file_checker.py:57} ERROR - ❌ Erreur d'encodage (utf-8) pour Écritures.csv: 'utf-8' codec can't decode byte 0xb0 in position 1: invalid start byte
[2025-02-03T23:10:05.984+0000] {logging_mixin.py:190} INFO - 
📂 Contenu du fichier (ISO-8859-1): Écritures.csv
[2025-02-03T23:10:06.013+0000] {logging_mixin.py:190} INFO -   Date comptabilisation       N° lot  ... KOR par Réception KOR INPUT
0            31/12/2024  A-BNDK 2304  ...             0,000     0,000
1            31/12/2024  B-BNDK 2304  ...             0,000     0,000
2            31/12/2024  C-BNDK 2304  ...             0,000     0,000
3            31/12/2024  D-BNDK 2304  ...             0,000     0,000
4            31/12/2024  E-BNDK 2304  ...             0,000     0,000

[5 rows x 27 columns]
[2025-02-03T23:10:06.015+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-03T23:10:06.016+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-03T23:10:06.017+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-03T23:10:06.018+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-03T23:10:06.019+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-03T23:10:06.020+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-03T23:10:06.021+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-03T23:10:06.021+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-03T23:10:06.022+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-03T23:10:06.023+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-03T23:10:06.024+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-03T23:10:06.025+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-03T23:10:06.026+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-18
[2025-02-03T23:10:06.027+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-12
[2025-02-03T23:10:06.028+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-12
[2025-02-03T23:10:06.029+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-12
[2025-02-03T23:10:06.029+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-17
[2025-02-03T23:10:06.030+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-17
[2025-02-03T23:10:06.031+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-28
[2025-02-03T23:10:06.032+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-28
[2025-02-03T23:10:06.032+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-03T23:10:06.033+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-03T23:10:06.034+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-03T23:10:06.035+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-03T23:10:06.036+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-03T23:10:06.037+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-03T23:10:06.037+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-03T23:10:06.038+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-26
